rango,estudios,partido,departamento,apoyo
joven,secundaria,PPC,LORETO,1
joven,posgrado,APRA,CUZCO,1
mayor,posgrado,ACCION_POPULAR,LIMA,1
mayor,pregrado,APRA,TRUJILLO,1
joven,secundaria,PERU_POSIBLE,JUNIN,1
anciano,posgrado,FREPAP,AREQUIPA,1
mayor,notiene,FUERZA_POPULAR,TRUJILLO,0
adulto,posgrado,CONTIGO_PERU,AREQUIPA,1
joven,secundaria,FUERZA_POPULAR,CAJAMARCA,1
anciano,primaria,FREPAP,LIMA,1
anciano,secundaria,PPC,CAJAMARCA,1
anciano,posgrado,APRA,LIMA,1
mayor,notiene,FREPAP,JUNIN,1
adulto,posgrado,PPC,LIMA,1
anciano,posgrado,PPC,JUNIN,1
adulto,secundaria,FREPAP,CUZCO,1
joven,posgrado,APRA,CAJAMARCA,0
anciano,notiene,ACCION_POPULAR,LORETO,1
anciano,secundaria,CONTIGO_PERU,TRUJILLO,0
joven,posgrado,FUERZA_POPULAR,TRUJILLO,1
joven,posgrado,FREPAP,LORETO,0
anciano,secundaria,FUERZA_POPULAR,AREQUIPA,1
anciano,pregrado,FRENTE_AMPLIO,JUNIN,1
joven,posgrado,FREPAP,CUZCO,1
joven,primaria,ACCION_POPULAR,CUZCO,0
joven,secundaria,FRENTE_AMPLIO,LIMA,0
joven,notiene,FREPAP,LIMA,1
anciano,secundaria,FREPAP,TRUJILLO,0
anciano,posgrado,PARTIDO_MORADO,LIMA,1
anciano,secundaria,FRENTE_AMPLIO,AREQUIPA,0
anciano,pregrado,ACCION_POPULAR,CAJAMARCA,1
joven,primaria,PARTIDO_MORADO,LIMA,0
adulto,secundaria,PPC,CUZCO,0
mayor,primaria,APRA,JUNIN,1
anciano,notiene,PPC,LIMA,1
adulto,primaria,PARTIDO_MORADO,LORETO,1
mayor,primaria,PARTIDO_MORADO,CUZCO,1
adulto,notiene,PERU_POSIBLE,AREQUIPA,1
anciano,pregrado,PPC,LIMA,0
adulto,notiene,PARTIDO_MORADO,LIMA,1
joven,posgrado,PPC,LIMA,0
adulto,posgrado,FRENTE_AMPLIO,LORETO,1
joven,primaria,FUERZA_POPULAR,LIMA,1
joven,primaria,APRA,AREQUIPA,1
joven,posgrado,FREPAP,CAJAMARCA,1
joven,primaria,PPC,TRUJILLO,1
joven,primaria,FREPAP,LIMA,1
adulto,secundaria,FUERZA_POPULAR,TRUJILLO,0
anciano,notiene,CONTIGO_PERU,HUANUCO,1
joven,pregrado,FRENTE_AMPLIO,AREQUIPA,1
joven,notiene,ACCION_POPULAR,TRUJILLO,1
joven,primaria,FRENTE_AMPLIO,CAJAMARCA,0
anciano,secundaria,PPC,LIMA,0
adulto,posgrado,APRA,CAJAMARCA,0
anciano,pregrado,CONTIGO_PERU,CAJAMARCA,0
joven,posgrado,CONTIGO_PERU,LIMA,0
anciano,pregrado,FREPAP,LIMA,0
adulto,notiene,PPC,LIMA,1
anciano,posgrado,FREPAP,LIMA,1
joven,notiene,PARTIDO_MORADO,TRUJILLO,1
joven,pregrado,ACCION_POPULAR,CUZCO,1
anciano,notiene,FREPAP,LIMA,1
adulto,notiene,FRENTE_AMPLIO,HUANUCO,0
mayor,pregrado,PPC,LIMA,0
joven,posgrado,PERU_POSIBLE,HUANUCO,1
joven,pregrado,PERU_POSIBLE,TRUJILLO,1
joven,primaria,APRA,LORETO,0
adulto,notiene,FRENTE_AMPLIO,TRUJILLO,1
joven,primaria,FREPAP,LIMA,0
anciano,posgrado,ACCION_POPULAR,LIMA,0
