rango,estudios,partido,casado,hijos,departamento,apoyo
mayor,notiene,FRENTE_AMPLIO,0,0,HUANUCO,0
mayor,primaria,CONTIGO_PERU,1,0,LORETO,1
joven,pregrado,FREPAP,0,0,HUANUCO,1
joven,posgrado,PARTIDO_MORADO,0,0,LIMA,1
joven,primaria,PARTIDO_MORADO,0,1,TRUJILLO,1
mayor,posgrado,FUERZA_POPULAR,0,0,TRUJILLO,1
joven,primaria,FRENTE_AMPLIO,1,1,TRUJILLO,1
anciano,secundaria,FRENTE_AMPLIO,1,0,LORETO,1
adulto,secundaria,CONTIGO_PERU,1,0,HUANUCO,0
joven,secundaria,FUERZA_POPULAR,0,0,CAJAMARCA,1
mayor,notiene,PPC,0,0,HUANUCO,1
joven,posgrado,FUERZA_POPULAR,0,1,LIMA,1
anciano,secundaria,PPC,0,1,LORETO,1
mayor,secundaria,FREPAP,0,1,TRUJILLO,1
joven,posgrado,PPC,1,0,CAJAMARCA,1
joven,posgrado,ACCION_POPULAR,1,0,TRUJILLO,1
anciano,pregrado,PARTIDO_MORADO,1,1,LIMA,1
joven,secundaria,FUERZA_POPULAR,0,0,LIMA,0
mayor,pregrado,FUERZA_POPULAR,0,0,AREQUIPA,1
adulto,notiene,ACCION_POPULAR,0,0,LIMA,1
joven,pregrado,ACCION_POPULAR,1,1,AREQUIPA,1
adulto,pregrado,CONTIGO_PERU,0,0,LORETO,1
mayor,posgrado,CONTIGO_PERU,0,1,LIMA,0
joven,notiene,PERU_POSIBLE,0,0,LIMA,1
joven,secundaria,PARTIDO_MORADO,0,0,JUNIN,0
anciano,posgrado,FREPAP,0,0,JUNIN,1
mayor,posgrado,FRENTE_AMPLIO,1,0,LORETO,1
anciano,posgrado,CONTIGO_PERU,0,0,JUNIN,1
mayor,notiene,FRENTE_AMPLIO,1,0,HUANUCO,1
anciano,pregrado,FREPAP,1,0,CUZCO,1
joven,secundaria,CONTIGO_PERU,1,1,CUZCO,1
adulto,notiene,PERU_POSIBLE,0,1,LORETO,1
anciano,notiene,FRENTE_AMPLIO,0,0,JUNIN,1
joven,pregrado,APRA,0,0,TRUJILLO,1
joven,secundaria,FREPAP,0,0,HUANUCO,1
mayor,notiene,FREPAP,0,1,AREQUIPA,0
joven,posgrado,APRA,1,0,JUNIN,1
joven,secundaria,APRA,1,0,LIMA,1
joven,secundaria,FREPAP,0,0,LIMA,1
joven,notiene,ACCION_POPULAR,1,0,JUNIN,1
adulto,notiene,PERU_POSIBLE,0,0,LIMA,1
mayor,secundaria,ACCION_POPULAR,0,0,CUZCO,1
joven,primaria,FRENTE_AMPLIO,0,1,LORETO,0
joven,posgrado,PERU_POSIBLE,1,0,LIMA,0
joven,secundaria,ACCION_POPULAR,1,0,HUANUCO,0
anciano,primaria,FREPAP,0,0,CAJAMARCA,1
anciano,notiene,FREPAP,0,0,LIMA,0
adulto,pregrado,ACCION_POPULAR,0,1,CUZCO,1
joven,posgrado,PPC,0,1,LORETO,1
adulto,notiene,FREPAP,0,1,JUNIN,0
adulto,primaria,FREPAP,0,0,JUNIN,1
mayor,pregrado,PARTIDO_MORADO,0,0,LIMA,1
mayor,posgrado,ACCION_POPULAR,0,1,CAJAMARCA,1
joven,pregrado,FREPAP,0,1,JUNIN,1
anciano,pregrado,PERU_POSIBLE,0,0,TRUJILLO,0
anciano,posgrado,ACCION_POPULAR,0,0,HUANUCO,0
joven,primaria,ACCION_POPULAR,0,1,JUNIN,0
adulto,primaria,ACCION_POPULAR,1,1,HUANUCO,0
joven,posgrado,ACCION_POPULAR,1,0,JUNIN,1
joven,notiene,PPC,1,0,AREQUIPA,1
anciano,posgrado,PARTIDO_MORADO,1,0,LIMA,1
joven,secundaria,PERU_POSIBLE,1,1,CAJAMARCA,1
adulto,notiene,FREPAP,0,1,LORETO,1
mayor,posgrado,FUERZA_POPULAR,1,1,LIMA,1
anciano,secundaria,APRA,1,0,CUZCO,0
adulto,secundaria,CONTIGO_PERU,0,1,HUANUCO,0
mayor,posgrado,CONTIGO_PERU,0,0,AREQUIPA,1
anciano,posgrado,ACCION_POPULAR,1,0,LORETO,1
joven,notiene,CONTIGO_PERU,0,1,HUANUCO,0
mayor,notiene,FUERZA_POPULAR,0,1,TRUJILLO,1
joven,secundaria,CONTIGO_PERU,0,0,LIMA,1
anciano,primaria,FREPAP,1,0,TRUJILLO,0
adulto,primaria,PERU_POSIBLE,0,0,JUNIN,0
mayor,secundaria,PARTIDO_MORADO,1,1,AREQUIPA,1
joven,primaria,CONTIGO_PERU,0,1,CAJAMARCA,1
joven,primaria,PARTIDO_MORADO,0,0,TRUJILLO,1
joven,secundaria,FUERZA_POPULAR,1,1,HUANUCO,1
anciano,pregrado,FRENTE_AMPLIO,1,1,LIMA,0
mayor,secundaria,PERU_POSIBLE,0,0,AREQUIPA,1
adulto,secundaria,PERU_POSIBLE,1,0,LIMA,0
joven,secundaria,ACCION_POPULAR,1,0,LORETO,1
adulto,pregrado,APRA,0,0,HUANUCO,1
adulto,pregrado,ACCION_POPULAR,0,0,HUANUCO,0
joven,notiene,ACCION_POPULAR,1,0,HUANUCO,1
adulto,primaria,APRA,0,0,CUZCO,1
joven,pregrado,PPC,0,1,LIMA,1
anciano,secundaria,APRA,0,0,LIMA,1
joven,posgrado,CONTIGO_PERU,0,1,JUNIN,1
adulto,pregrado,CONTIGO_PERU,1,0,LORETO,1
joven,posgrado,PARTIDO_MORADO,0,1,HUANUCO,1
joven,primaria,FREPAP,0,0,LIMA,1
adulto,pregrado,CONTIGO_PERU,1,0,LIMA,0
joven,pregrado,PARTIDO_MORADO,0,0,LIMA,1
joven,secundaria,PPC,1,0,LORETO,1
mayor,posgrado,FRENTE_AMPLIO,1,1,HUANUCO,1
joven,notiene,CONTIGO_PERU,0,1,TRUJILLO,1
adulto,primaria,ACCION_POPULAR,0,0,LIMA,0
joven,secundaria,FREPAP,1,0,LORETO,1
joven,pregrado,FUERZA_POPULAR,0,0,LIMA,1
adulto,secundaria,FRENTE_AMPLIO,0,0,LIMA,1
joven,notiene,PPC,0,0,JUNIN,1
mayor,pregrado,FUERZA_POPULAR,0,0,LORETO,1
joven,pregrado,ACCION_POPULAR,0,0,LORETO,1
joven,primaria,FREPAP,0,0,LIMA,1
joven,primaria,PARTIDO_MORADO,0,0,LIMA,0
mayor,primaria,FUERZA_POPULAR,0,0,CUZCO,1
joven,notiene,APRA,0,0,LIMA,1
joven,primaria,CONTIGO_PERU,0,0,LIMA,1
adulto,primaria,PARTIDO_MORADO,1,1,HUANUCO,0
mayor,posgrado,FUERZA_POPULAR,0,0,JUNIN,1
joven,notiene,ACCION_POPULAR,1,1,TRUJILLO,0
adulto,secundaria,PARTIDO_MORADO,0,1,TRUJILLO,0
mayor,primaria,FREPAP,1,1,LIMA,1
anciano,pregrado,FRENTE_AMPLIO,0,0,HUANUCO,1
joven,posgrado,FREPAP,0,0,LIMA,1
joven,notiene,FUERZA_POPULAR,1,0,HUANUCO,1
anciano,pregrado,FRENTE_AMPLIO,1,1,CUZCO,0
joven,secundaria,PARTIDO_MORADO,0,0,LIMA,1
anciano,posgrado,PERU_POSIBLE,1,0,JUNIN,1
adulto,secundaria,PARTIDO_MORADO,0,1,AREQUIPA,0
mayor,secundaria,ACCION_POPULAR,0,1,LIMA,0
mayor,primaria,FUERZA_POPULAR,1,1,LIMA,0
mayor,notiene,PPC,1,0,CUZCO,0
joven,posgrado,CONTIGO_PERU,0,0,LIMA,0
anciano,secundaria,APRA,0,0,LIMA,1
anciano,primaria,FUERZA_POPULAR,0,1,AREQUIPA,0
joven,notiene,ACCION_POPULAR,0,0,LIMA,1
mayor,notiene,CONTIGO_PERU,0,0,CUZCO,0
joven,primaria,PERU_POSIBLE,1,1,HUANUCO,1
